underlying,underlying_last, exchange,optionroot,optionext,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega,optionalias
SPY,140.22,*,SWV061216C00060000,,call,12/16/2006,12/01/2006,60,79.5,80.1,80.4,65,2011,0.3636,0.9977,0,4.8297,0,SWVLH
SPY,140.22,*,SWV061216C00065000,,call,12/16/2006,12/01/2006,65,75.5,75.1,75.4,0,1446,0.3636,0.9977,0,4.5622,0,SWVLM
SPY,140.22,*,SZC061216C00070000,,call,12/16/2006,12/01/2006,70,69.5,70.1,70.4,41,1218,0.3636,0.9977,0,4.2948,0,SZCLR
SPY,140.22,*,SZC061216C00075000,,call,12/16/2006,12/01/2006,75,65.1,65.1,65.4,18,697,0.3636,0.9977,0,4.0273,0,SZCLW
SPY,140.22,*,SZC061216C00080000,,call,12/16/2006,12/01/2006,80,60.1,60.1,60.4,18,1524,0.3636,0.9977,0,3.7599,0,SZCLB
SPY,140.22,*,SZC061216C00085000,,call,12/16/2006,12/01/2006,85,41.7,55.1,55.4,0,3687,0.3636,0.9977,0,3.4924,0,SZCLG
SPY,140.22,*,SZC061216C00088000,,call,12/16/2006,12/01/2006,88,52.6,52.1,52.4,0,1123,0.3636,0.9977,0,3.332,0,SZCLJ
SPY,140.22,*,SZC061216C00089000,,call,12/16/2006,12/01/2006,89,45.5,51.1,51.4,0,483,0.3636,0.9977,0,3.2785,0,SZCLK
SPY,140.22,*,SWG061216C00090000,,call,12/16/2006,12/01/2006,90,50,50.1,50.4,0,5442,0.3636,0.9977,0,3.225,0,SWGLL
SPY,140.22,*,SWG061216C00091000,,call,12/16/2006,12/01/2006,91,43.5,49.1,49.4,0,622,0.3636,0.9977,0,3.1715,0,SWGLM
SPY,140.22,*,SWG061216C00092000,,call,12/16/2006,12/01/2006,92,39.8,48.1,48.4,0,38,0.3636,0.9977,0,3.118,0,SWGLN
SPY,140.22,*,SWG061216C00093000,,call,12/16/2006,12/01/2006,93,47.5,47.1,47.4,18,308,0.3636,0.9977,0,3.0645,0,SWGLO
SPY,140.22,*,SWG061216C00094000,,call,12/16/2006,12/01/2006,94,46.5,46.1,46.4,18,223,0.3636,0.9977,0,3.011,0,SWGLP
SPY,140.22,*,SWG061216C00095000,,call,12/16/2006,12/01/2006,95,40.9,45.1,45.4,0,3684,0.3636,0.9977,0,2.9575,0,SWGLQ
SPY,140.22,*,SWG061216C00096000,,call,12/16/2006,12/01/2006,96,44.5,44.2,44.4,18,1034,0.3636,0.9977,0,2.904,0,SWGLR
SPY,140.22,*,SWG061216C00097000,,call,12/16/2006,12/01/2006,97,43.5,43.1,43.4,18,1785,0.3636,0.9977,0,2.8505,0,SWGLS
SPY,140.22,*,SWG061216C00098000,,call,12/16/2006,12/01/2006,98,42.5,42.2,42.4,18,1142,0.3636,0.9977,0,2.7969,0,SWGLT
SPY,140.22,*,SWG061216C00099000,,call,12/16/2006,12/01/2006,99,41.6,41.2,41.4,18,660,0.3636,0.9977,0,2.7432,0.0001,SWGLU
SPY,140.22,*,SWG061216C00100000,,call,12/16/2006,12/01/2006,100,40.8,40.2,40.4,0,4506,0.3636,0.9977,0,2.6894,0.0002,SWGLV
SPY,140.22,*,SWG061216C00101000,,call,12/16/2006,12/01/2006,101,38.6,39.2,39.4,36,1061,0.3636,0.9977,0,2.6353,0.0003,SWGLW
SPY,140.22,*,SWG061216C00102000,,call,12/16/2006,12/01/2006,102,31.4,38.2,38.4,0,373,0.3636,0.9977,0,2.5806,0.0006,SWGLX
SPY,140.22,*,SWG061216C00103000,,call,12/16/2006,12/01/2006,103,37.5,37.2,37.4,36,680,0.3636,0.9977,0,2.525,0.001,SWGLY
SPY,140.22,*,SWG061216C00104000,,call,12/16/2006,12/01/2006,104,34.5,36.2,36.4,0,120,0.3636,0.9977,0,2.468,0.0018,SWGLZ
SPY,140.22,*,SWG061216C00105000,,call,12/16/2006,12/01/2006,105,35.6,35.2,35.4,0,1600,0.3636,0.9977,0,2.4085,0.0031,SWGLA
SPY,140.22,*,SWG061216C00106000,,call,12/16/2006,12/01/2006,106,34.6,34.2,34.5,0,497,0.3636,0.9977,0,2.3453,0.0052,SWGLB
SPY,140.22,*,SWG061216C00107000,,call,12/16/2006,12/01/2006,107,31.8,33.2,33.5,0,511,0.3636,0.9977,0,2.2762,0.0085,SWGLC
SPY,140.22,*,SWG061216C00108000,,call,12/16/2006,12/01/2006,108,30,32.2,32.5,0,196,0.3636,0.9976,0,2.1984,0.0138,SWGLD
SPY,140.22,*,SWG061216C00109000,,call,12/16/2006,12/01/2006,109,30.3,31.2,31.5,0,816,0.3636,0.9975,0.0001,2.1077,0.0218,SWGLE
SPY,140.22,*,SPY061216C00110000,,call,12/16/2006,12/01/2006,110,28.8,30.2,30.5,0,3264,0.3636,0.9974,0.0001,1.9984,0.0338,SPYLF
SPY,140.22,*,SPY061216C00111000,,call,12/16/2006,12/01/2006,111,27.4,29.2,29.5,0,1047,0.3636,0.9972,0.0002,1.8632,0.0515,SPYLG
SPY,140.22,*,SPY061216C00112000,,call,12/16/2006,12/01/2006,112,26.4,28.2,28.5,0,781,0.3636,0.9969,0.0003,1.6923,0.0768,SPYLH
SPY,140.22,*,SPY061216C00113000,,call,12/16/2006,12/01/2006,113,25.6,27.2,27.5,0,913,0.3636,0.9965,0.0004,1.4736,0.1125,SPYLI
SPY,140.22,*,SPY061216C00114000,,call,12/16/2006,12/01/2006,114,25.9,26.2,26.5,0,1167,0.3636,0.9959,0.0006,1.192,0.1617,SPYLJ
SPY,140.22,*,SPY061216C00115000,,call,12/16/2006,12/01/2006,115,24.8,25.2,25.5,1,6962,0.3636,0.9951,0.0008,0.8297,0.2283,SPYLK
SPY,140.22,*,SPY061216C00116000,,call,12/16/2006,12/01/2006,116,23.9,24.2,24.5,0,2553,0.3636,0.9939,0.0011,0.3662,0.3168,SPYLL
SPY,140.22,*,SPY061216C00117000,,call,12/16/2006,12/01/2006,117,21.6,23.2,23.5,0,1769,0.3636,0.9923,0.0015,-0.2218,0.4322,SPYLM
SPY,140.22,*,SPY061216C00118000,,call,12/16/2006,12/01/2006,118,22.7,22.2,22.5,0,1561,0.3636,0.9902,0.0021,-0.9593,0.5797,SPYLN
SPY,140.22,*,RQQ061216C00119000,,call,12/16/2006,12/01/2006,119,0.05,21.2,21.5,0,1027,0.3636,0.9874,0.0027,-1.8724,0.7652,RQQLO
SPY,140.22,*,RQQ061216C00120000,,call,12/16/2006,12/01/2006,120,18.3,20.2,20.5,0,52,0.3636,0.9837,0.0035,-2.9867,0.9941,RQQLP
SPY,140.22,*,RQQ061216C00121000,,call,12/16/2006,12/01/2006,121,17.9,19.2,19.5,0,984,0.3636,0.979,0.0045,-4.3264,1.2716,RQQLQ
